Name,Sweet Preference,Sour Preference,Salty Preference,Bitter Preference,Umami Preference,Spiciness Preference,Texture - Crunchy,Texture - Soft,Texture - Gooey,Texture - Smooth,Texture - Chewy,Texture - Grainy,Texture - Creamy,Texture - Juicy,Minimum Budget,Maximum Budget,Budget Preference,Allergy Identifier,Allergy Severity,Dietary Restrictions Identifier,Dietary Restrictions Strictness,Protein Preference,Protein Importance,Sensitive Ingredients Identifier,Sensitive Ingredients Rating,Cuisine Preference Identifier,Cuisine Openness,Innovation,Freshness Importance,Preparation Preference,Portion Size Preference,Temperature Preference,Ethics Importance,Presentation Importance,Favorite Regions Identifier,Regional Preference Rating,Foreign Food Openness,Health Importance
Oliver Thompson,6,4,5,3,7,6,1,0,0,1,0,1,1,0,20,70,4,6,3,8,4,3,4,7,3,7,4,4,3,2,4,1,4,2,8,3,5,4
Mia White,7,6,4,4,8,5,0,1,1,0,1,0,0,1,15,65,3,7,2,9,3,8,5,8,2,8,3,3,2,3,2,2,3,3,9,4,3,3
Ethan Harris,5,5,6,2,9,7,1,0,0,1,0,1,1,0,30,90,2,8,4,10,2,5,3,9,1,9,2,5,4,4,5,3,5,4,10,2,4,4
Aria Martin,8,4,7,3,7,4,0,1,1,0,1,1,0,1,25,80,1,1,5,1,5,9,2,10,4,10,1,2,1,5,3,1,2,1,1,5,2,5
Noah Lee,6,7,5,4,8,6,1,0,0,1,0,1,1,0,35,95,5,2,3,2,4,10,4,1,5,1,4,3,2,6,4,3,4,5,2,3,3,3
Isabella Walker,7,5,6,2,9,5,0,1,1,0,1,0,0,1,40,100,4,3,2,3,3,1,5,2,6,2,5,4,5,1,2,2,3,3,3,4,4,2
Benjamin Wright,5,6,4,3,7,7,1,0,0,1,0,1,1,0,45,105,3,4,1,4,2,2,3,3,7,3,6,2,4,7,5,1,5,4,4,1,5,1
Charlotte Hall,8,4,5,4,8,4,0,1,1,0,1,1,0,1,50,110,2,5,4,5,1,3,2,4,8,4,7,1,3,2,3,3,2,2,5,2,2,5
Lucas Taylor,6,5,6,2,9,6,1,0,0,1,0,1,1,0,55,115,1,6,3,6,5,4,4,5,9,5,8,3,2,3,6,2,1,1,6,5,1,4
Amelia Scott,7,6,4,3,7,5,0,1,1,0,1,0,0,1,60,120,5,7,2,7,4,5,5,6,10,6,9,4,1,4,7,3,4,5,7,3,3,2
Lucas Bennett,6,5,7,2,8,3,1,0,0,1,1,0,1,0,10,50,3,1,2,1,4,5,4,3,2,6,4,4,4,2,3,1,3,5,2,4,5,4
Sophia Turner,7,4,6,3,7,5,0,1,1,0,0,1,0,1,15,55,4,8,3,2,3,2,3,4,1,5,3,3,2,4,2,2,4,4,3,3,4,3
Ethan Clark,5,6,5,4,9,2,1,1,0,0,0,0,1,1,20,60,2,5,4,3,2,1,5,1,2,4,2,2,3,5,4,3,2,3,1,2,3,5
Ava Martinez,8,5,6,2,8,6,0,0,1,1,1,1,0,0,12,52,5,6,1,4,5,7,2,5,3,3,5,1,5,1,3,2,5,2,1,5,2,2
Liam Robinson,6,7,5,3,7,4,1,1,0,0,0,0,1,1,18,58,4,2,3,5,1,3,4,2,1,2,4,3,3,3,2,3,4,3,4,2,3,3
Oliver Thompson,7,6,5,3,8,5,1,0,1,0,1,0,0,1,12,53,3,3,2,6,4,4,3,6,2,7,3,2,3,5,3,1,3,4,5,3,4,5
Mia Anderson,6,5,7,4,7,3,0,1,0,1,0,1,1,0,14,54,4,7,3,7,2,6,5,7,3,8,5,4,4,1,4,2,2,3,2,4,3,4
Noah White,5,7,6,2,9,4,1,1,0,0,0,0,1,1,16,56,2,1,4,8,3,8,2,8,4,9,2,3,2,2,2,3,5,2,3,5,2,2
Isabella Harris,8,4,5,3,8,6,0,0,1,1,1,1,0,0,10,50,5,4,1,5,4,2,4,3,5,1,1,4,1,5,3,5,2,4,1,6,1,4
Jacob Wilson,6,6,5,4,7,5,1,1,0,0,0,0,1,1,18,59,3,2,2,1,5,5,4,1,6,2,6,3,2,3,4,3,4,5,7,4,5,3
Sophia Martinez,7,5,6,3,7,4,1,1,0,1,0,0,1,0,15,60,4,5,3,2,3,3,5,2,2,4,4,3,1,4,2,1,3,5,1,2,4,3
Liam Johnson,5,6,7,2,8,9,0,1,1,0,1,0,0,1,20,65,3,6,2,3,3,7,4,3,2,5,5,2,2,5,3,2,4,4,2,3,5,4
Ava Taylor,8,4,5,4,9,2,1,1,0,0,0,0,1,1,25,70,1,7,3,4,1,6,3,4,3,6,1,3,3,1,3,5,5,3,1,4,4,3
Lucas Brown,6,7,6,2,9,5,1,1,0,0,0,0,1,1,30,75,2,8,4,5,2,1,5,5,4,3,2,4,4,2,4,3,3,2,3,5,3,4
Emma Davis,7,5,7,3,8,3,0,0,1,1,1,1,0,0,35,80,5,1,1,6,4,4,2,6,5,7,3,5,5,3,5,4,2,1,4,6,2,4
Oliver Wilson,6,5,5,4,7,6,1,0,1,0,1,0,0,1,20,55,3,2,2,7,4,5,4,6,3,7,3,4,2,3,3,3,4,3,2,3,5,3
Mia Anderson,7,6,6,3,8,3,0,1,0,1,0,1,1,0,25,65,4,3,3,8,3,8,3,7,2,8,2,5,1,4,2,2,5,2,5,4,3,2
